Weather,latitude,longitude,Ship_Type,Accident_Type
양호,38.16666667,129.5833333,어선,기관이상
황천4급,35.43333333,129.8666667,어선,기관이상
양호,35.08333333,129.1166667,어선,기관이상
양호,34.3,125.9597222,어선,침수
양호,36.48333333,129.4333333,어선,전복
저시정,36.98333333,126.0666667,화물선,충돌
양호,34.91916667,128.0858333,어선,기관이상
양호,34.44055556,126.0980556,어선,기관이상
양호,34.16666667,124.6333333,어선,기관이상
양호,32.7,126.6333333,어선,기관이상
양호,36.51666667,129.9833333,어선,기관이상
양호,33.36666667,125.8333333,어선,기관이상
황천5급,35.16666667,129.1666667,모터보트,운항저해
저시정,37.06666667,126.1666667,어선,기관이상
양호,35.50555556,129.3888889,기타,화재
양호,35.16472222,126.1336111,어선,기관이상
양호,34.79194444,126.4236111,요트,기관이상
양호,33.68333333,124.55,어선,기관이상
풍랑주의보,34.16666667,127.8666667,어선,기관이상
저시정,34.75611111,126.2286111,어선,운항저해
황천5급,35.41666667,130.2,어선,기관이상
양호,34.61444444,127.7180556,어선,침수
황천5급,35.41666667,130,어선,충돌
황천5급,34.17416667,126.5933333,어선,침수
풍랑주의보,33.23888889,126.5666667,모터보트,전복
황천4급,30.45,127.7666667,어선,기관이상
양호,37.56666667,126.5666667,예부선,충돌
양호,34.62527778,128.2958333,어선,기관이상
양호,37.08333333,126.4666667,어선,기관이상
양호,34.55611111,127.1025,어선,침수
양호,37.46861111,126.5913889,어선,기관이상
양호,34.5,125.9866667,요트,기관이상
양호,37.40833333,129.6583333,어선,기관이상
양호,34.95555556,128.5833333,어선,침수
양호,35.05111111,128.6522222,어선,운항저해
양호,34.875,128.9875,어선,기관이상
양호,34.90388889,126.2577778,화물선,운항저해
황천5급,34.33333333,127.3333333,어선,기관이상
양호,34.45305556,126.04,어선,기관이상
양호,35.11,126.2019444,기타,화재
양호,34.84194444,128.4297222,어선,기관이상
양호,34.61666667,125.9333333,요트,기관이상
양호,35.17361111,129.2166667,어선,기관이상
황천5급,37.31666667,125.9666667,유조선,기관이상
양호,34.61111111,126.2222222,기타,기관이상
양호,36.38944444,126.3405556,기타,운항저해
양호,35.10222222,129.1338889,모터보트,기관이상
양호,35.08333333,128.9086111,어선,운항저해
풍랑주의보,35.36527778,126.2875,어선,기관이상
풍랑주의보,33.68333333,126.2833333,어선,기관이상
풍랑주의보,34.83333333,126.2166667,어선,침수
양호,35.19694444,126.2219444,어선,운항저해
황천4급,36.31666667,126,어선,화재
황천4급,35.18333333,129.5,어선,기관이상
양호,37.24611111,129.3505556,어선,침수
양호,34.92722222,128.0788889,기타,침수
황천4급,35.38333333,130.0166667,어선,기관이상
황천5급,36.28333333,130.6666667,어선,기관이상
양호,34.60138889,125.8175,어선,기관이상
양호,34.58111111,125.7394444,어선,기관이상
양호,34.63333333,126.2333333,예부선,기관이상
양호,37.22277778,129.4405556,어선,기관이상
양호,36.68333333,126.0166667,화물선,충돌
양호,36.62666667,126.2133333,어선,기관이상
양호,34.5,125.8666667,어선,기관이상
양호,34.76666667,127.8333333,어선,기관이상
양호,37.39361111,126.3730556,모터보트,기관이상
양호,36.27166667,125.0361111,어선,기관이상
풍랑주의보,34.73333333,128.6491667,기타,운항저해
양호,34.8,126.35,어선,침수
